"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"[{""page_index"":0,""viewing_time"":16685},{""page_index"":1,""viewing_time"":14996}]","31682","instructions","0","31685","0.0-0.0","","","","","","",""
"","5099","canvas-keyboard-response","1","37302","0.0-1.0-0.0","j","false","30","true","response","true",""
"","null","html-keyboard-response","2","38814","0.0-1.0-1.0","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2295","canvas-keyboard-response","3","41615","0.0-1.0-0.1","f","true","30","true","response","true",""
"","null","html-keyboard-response","4","43126","0.0-1.0-1.1","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2237","canvas-keyboard-response","5","45868","0.0-1.0-0.2","j","false","40","true","response","true",""
"","null","html-keyboard-response","6","47383","0.0-1.0-1.2","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2164","canvas-keyboard-response","7","50051","0.0-1.0-0.3","j","false","30","true","response","true",""
"","null","html-keyboard-response","8","51566","0.0-1.0-1.3","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","879","canvas-keyboard-response","9","52950","0.0-1.0-0.4","f","true","30","false","response","true",""
"","null","html-keyboard-response","10","54462","0.0-1.0-1.4","null","","","","","","Correct!"
"","899","canvas-keyboard-response","11","55865","0.0-1.0-0.5","f","true","10","false","response","true",""
"","null","html-keyboard-response","12","57374","0.0-1.0-1.5","null","","","","","","Correct!"
"","2223","canvas-keyboard-response","13","60101","0.0-1.0-0.6","j","false","30","true","response","true",""
"","null","html-keyboard-response","14","61614","0.0-1.0-1.6","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","846","canvas-keyboard-response","15","62966","0.0-1.0-0.7","f","true","20","false","response","true",""
"","null","html-keyboard-response","16","64478","0.0-1.0-1.7","null","","","","","","Correct!"
"","914","canvas-keyboard-response","17","65897","0.0-1.0-0.8","j","false","10","true","response","true",""
"","null","html-keyboard-response","18","67406","0.0-1.0-1.8","null","","","","","","Correct!"
"","932","canvas-keyboard-response","19","68843","0.0-1.0-0.9","f","true","40","false","response","true",""
"","null","html-keyboard-response","20","70358","0.0-1.0-1.9","null","","","","","","Correct!"
"","1059","canvas-keyboard-response","21","71922","0.0-1.0-0.10","j","false","10","true","response","true",""
"","null","html-keyboard-response","22","73438","0.0-1.0-1.10","null","","","","","","Correct!"
"","1074","canvas-keyboard-response","23","75017","0.0-1.0-0.11","f","true","30","true","response","true",""
"","null","html-keyboard-response","24","76526","0.0-1.0-1.11","null","","","","","","Correct!"
"","1277","canvas-keyboard-response","25","78307","0.0-1.0-0.12","f","true","40","true","response","true",""
"","null","html-keyboard-response","26","79822","0.0-1.0-1.12","null","","","","","","Correct!"
"","1049","canvas-keyboard-response","27","81376","0.0-1.0-0.13","j","false","20","true","response","true",""
"","null","html-keyboard-response","28","82886","0.0-1.0-1.13","null","","","","","","Correct!"
"","877","canvas-keyboard-response","29","84268","0.0-1.0-0.14","f","true","10","true","response","true",""
"","null","html-keyboard-response","30","85782","0.0-1.0-1.14","null","","","","","","Correct!"
"","1630","canvas-keyboard-response","31","87917","0.0-1.0-0.15","f","true","20","true","response","true",""
"","null","html-keyboard-response","32","89430","0.0-1.0-1.15","null","","","","","","Correct!"
"","3406","canvas-keyboard-response","33","93341","0.0-1.0-0.16","j","false","40","false","response","true",""
"","null","html-keyboard-response","34","94854","0.0-1.0-1.16","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2411","canvas-keyboard-response","35","97770","0.0-1.0-0.17","j","false","40","false","response","true",""
"","null","html-keyboard-response","36","99286","0.0-1.0-1.17","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1275","canvas-keyboard-response","37","101066","0.0-1.0-0.18","j","false","10","false","response","true",""
"","null","html-keyboard-response","38","102582","0.0-1.0-1.18","null","","","","","","Correct!"
"","2172","canvas-keyboard-response","39","105259","0.0-1.0-0.19","f","true","40","true","response","true",""
"","null","html-keyboard-response","40","106774","0.0-1.0-1.19","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2499","canvas-keyboard-response","41","109778","0.0-1.0-0.20","f","true","40","true","response","true",""
"","null","html-keyboard-response","42","111294","0.0-1.0-1.20","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1806","canvas-keyboard-response","43","113605","0.0-1.0-0.21","j","false","40","true","response","true",""
"","null","html-keyboard-response","44","115118","0.0-1.0-1.21","null","","","","","","Correct!"
"","1057","canvas-keyboard-response","45","116681","0.0-1.0-0.22","f","true","20","false","response","true",""
"","null","html-keyboard-response","46","118190","0.0-1.0-1.22","null","","","","","","Correct!"
"","1035","canvas-keyboard-response","47","119730","0.0-1.0-0.23","f","true","40","false","response","true",""
"","null","html-keyboard-response","48","121238","0.0-1.0-1.23","null","","","","","","Correct!"
"","1507","canvas-keyboard-response","49","123249","0.0-1.0-0.24","j","false","20","false","response","true",""
"","null","html-keyboard-response","50","124758","0.0-1.0-1.24","null","","","","","","Correct!"
"","1570","canvas-keyboard-response","51","126833","0.0-1.0-0.25","f","true","20","true","response","true",""
"","null","html-keyboard-response","52","128342","0.0-1.0-1.25","null","","","","","","Correct!"
"","2149","canvas-keyboard-response","53","130996","0.0-1.0-0.26","j","false","40","false","response","true",""
"","null","html-keyboard-response","54","132510","0.0-1.0-1.26","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","763","canvas-keyboard-response","55","133778","0.0-1.0-0.27","f","true","40","false","response","true",""
"","null","html-keyboard-response","56","135294","0.0-1.0-1.27","null","","","","","","Correct!"
"","1578","canvas-keyboard-response","57","137377","0.0-1.0-0.28","f","true","20","true","response","true",""
"","null","html-keyboard-response","58","138886","0.0-1.0-1.28","null","","","","","","Correct!"
"","1418","canvas-keyboard-response","59","140809","0.0-1.0-0.29","j","false","30","false","response","true",""
"","null","html-keyboard-response","60","142318","0.0-1.0-1.29","null","","","","","","Correct!"
"","1004","canvas-keyboard-response","61","143826","0.0-1.0-0.30","j","false","30","false","response","true",""
"","null","html-keyboard-response","62","145342","0.0-1.0-1.30","null","","","","","","Correct!"
"","1984","canvas-keyboard-response","63","147830","0.0-1.0-0.31","j","false","40","true","response","true",""
"","null","html-keyboard-response","64","149342","0.0-1.0-1.31","null","","","","","","Correct!"
