"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","1005","canvas-keyboard-response","317","533515","0.0-1.0-0.158","f","true","30","true","response","true",""
"","null","html-keyboard-response","318","535016","0.0-1.0-1.158","null","","","","","","Correct!"
"","646","canvas-keyboard-response","319","536163","0.0-1.0-0.159","j","true","20","true","response","false",""
"","null","html-keyboard-response","320","537665","0.0-1.0-1.159","null","","","","","","Wrong"
"","1013","canvas-keyboard-response","321","539179","0.0-1.0-0.160","j","false","10","true","response","true",""
"","null","html-keyboard-response","322","540681","0.0-1.0-1.160","null","","","","","","Correct!"
"","662","canvas-keyboard-response","323","541843","0.0-1.0-0.161","j","false","10","true","response","true",""
"","null","html-keyboard-response","324","543345","0.0-1.0-1.161","null","","","","","","Correct!"
"","1782","canvas-keyboard-response","325","545627","0.0-1.0-0.162","j","false","40","true","response","true",""
"","null","html-keyboard-response","326","547130","0.0-1.0-1.162","null","","","","","","Correct!"
"","709","canvas-keyboard-response","327","548340","0.0-1.0-0.163","j","false","40","false","response","true",""
"","null","html-keyboard-response","328","549842","0.0-1.0-1.163","null","","","","","","Correct!"
"","997","canvas-keyboard-response","329","551340","0.0-1.0-0.164","f","true","20","true","response","true",""
"","null","html-keyboard-response","330","552843","0.0-1.0-1.164","null","","","","","","Correct!"
"","1493","canvas-keyboard-response","331","554837","0.0-1.0-0.165","f","true","40","true","response","true",""
"","null","html-keyboard-response","332","556339","0.0-1.0-1.165","null","","","","","","Correct!"
"","644","canvas-keyboard-response","333","557485","0.0-1.0-0.166","f","true","40","false","response","true",""
"","null","html-keyboard-response","334","558987","0.0-1.0-1.166","null","","","","","","Correct!"
"","741","canvas-keyboard-response","335","560229","0.0-1.0-0.167","f","true","10","false","response","true",""
"","null","html-keyboard-response","336","561731","0.0-1.0-1.167","null","","","","","","Correct!"
"","717","canvas-keyboard-response","337","562949","0.0-1.0-0.168","f","true","20","false","response","true",""
"","null","html-keyboard-response","338","564451","0.0-1.0-1.168","null","","","","","","Correct!"
"","1781","canvas-keyboard-response","339","566734","0.0-1.0-0.169","j","false","40","true","response","true",""
"","null","html-keyboard-response","340","568236","0.0-1.0-1.169","null","","","","","","Correct!"
"","1076","canvas-keyboard-response","341","569814","0.0-1.0-0.170","j","false","20","true","response","true",""
"","null","html-keyboard-response","342","571315","0.0-1.0-1.170","null","","","","","","Correct!"
"","806","canvas-keyboard-response","343","572622","0.0-1.0-0.171","j","false","40","false","response","true",""
"","null","html-keyboard-response","344","574123","0.0-1.0-1.171","null","","","","","","Correct!"
"","869","canvas-keyboard-response","345","575494","0.0-1.0-0.172","j","true","20","true","response","false",""
"","null","html-keyboard-response","346","576995","0.0-1.0-1.172","null","","","","","","Wrong"
"","2119","canvas-keyboard-response","347","579615","0.0-1.0-0.173","f","true","40","true","response","true",""
"","null","html-keyboard-response","348","581117","0.0-1.0-1.173","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","661","canvas-keyboard-response","349","582279","0.0-1.0-0.174","j","false","30","false","response","true",""
"","null","html-keyboard-response","350","583782","0.0-1.0-1.174","null","","","","","","Correct!"
"","701","canvas-keyboard-response","351","584983","0.0-1.0-0.175","f","true","10","false","response","true",""
"","null","html-keyboard-response","352","586485","0.0-1.0-1.175","null","","","","","","Correct!"
"","558","canvas-keyboard-response","353","587543","0.0-1.0-0.176","j","false","10","false","response","true",""
"","null","html-keyboard-response","354","589045","0.0-1.0-1.176","null","","","","","","Correct!"
"","821","canvas-keyboard-response","355","590368","0.0-1.0-0.177","f","true","30","true","response","true",""
"","null","html-keyboard-response","356","591870","0.0-1.0-1.177","null","","","","","","Correct!"
"","2188","canvas-keyboard-response","357","594560","0.0-1.0-0.178","f","true","10","true","response","true",""
"","null","html-keyboard-response","358","596062","0.0-1.0-1.178","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","709","canvas-keyboard-response","359","597272","0.0-1.0-0.179","j","false","10","true","response","true",""
"","null","html-keyboard-response","360","598774","0.0-1.0-1.179","null","","","","","","Correct!"
"","709","canvas-keyboard-response","361","599984","0.0-1.0-0.180","j","false","20","false","response","true",""
"","null","html-keyboard-response","362","601487","0.0-1.0-1.180","null","","","","","","Correct!"
"","1525","canvas-keyboard-response","363","603513","0.0-1.0-0.181","f","true","30","true","response","true",""
"","null","html-keyboard-response","364","605018","0.0-1.0-1.181","null","","","","","","Correct!"
"","538","canvas-keyboard-response","365","606057","0.0-1.0-0.182","f","true","40","false","response","true",""
"","null","html-keyboard-response","366","607559","0.0-1.0-1.182","null","","","","","","Correct!"
"","598","canvas-keyboard-response","367","608657","0.0-1.0-0.183","j","false","30","false","response","true",""
"","null","html-keyboard-response","368","610158","0.0-1.0-1.183","null","","","","","","Correct!"
"","1086","canvas-keyboard-response","369","611745","0.0-1.0-0.184","j","false","30","true","response","true",""
"","null","html-keyboard-response","370","613247","0.0-1.0-1.184","null","","","","","","Correct!"
"","654","canvas-keyboard-response","371","614402","0.0-1.0-0.185","j","false","10","false","response","true",""
"","null","html-keyboard-response","372","615904","0.0-1.0-1.185","null","","","","","","Correct!"
"","493","canvas-keyboard-response","373","616898","0.0-1.0-0.186","j","false","20","false","response","true",""
"","null","html-keyboard-response","374","618399","0.0-1.0-1.186","null","","","","","","Correct!"
"","454","canvas-keyboard-response","375","619354","0.0-1.0-0.187","j","false","40","false","response","true",""
"","null","html-keyboard-response","376","620857","0.0-1.0-1.187","null","","","","","","Correct!"
"","396","canvas-keyboard-response","377","621754","0.0-1.0-0.188","j","false","10","false","response","true",""
"","null","html-keyboard-response","378","623257","0.0-1.0-1.188","null","","","","","","Correct!"
"","372","canvas-keyboard-response","379","624131","0.0-1.0-0.189","j","false","10","false","response","true",""
"","null","html-keyboard-response","380","625634","0.0-1.0-1.189","null","","","","","","Correct!"
"","1692","canvas-keyboard-response","381","627827","0.0-1.0-0.190","j","false","30","true","response","true",""
"","null","html-keyboard-response","382","629329","0.0-1.0-1.190","null","","","","","","Correct!"
"","493","canvas-keyboard-response","383","630323","0.0-1.0-0.191","j","true","40","false","response","false",""
"","null","html-keyboard-response","384","631825","0.0-1.0-1.191","null","","","","","","Wrong"
"","613","canvas-keyboard-response","385","632939","0.0-1.0-0.192","f","false","10","true","response","false",""
"","null","html-keyboard-response","386","634442","0.0-1.0-1.192","null","","","","","","Wrong"
"","772","canvas-keyboard-response","387","635715","0.0-1.0-0.193","f","true","10","true","response","true",""
"","null","html-keyboard-response","388","637218","0.0-1.0-1.193","null","","","","","","Correct!"
